"id","title","composer","arranger","specific_voicing","key","time","notes"
"148","Daniel","African American Spiritual","Dilworth","SSAATTBB",,,"5 copies"
"215","An Irish Blessing","Traditional","Duson","SATB",,,
"872","Rewrite the Stars","Pasek, Paul","Emerson","SATB",,,
"214","Gentle Annie","Foster","Eliot","SATB",,,
"142","Esto Les Digo","Lange",,"SATB",,,
"147","Fruhlingsfeier (Celebration of Spring)","Mendelssohn",,"SATB",,,
"143","El Grillo","Prez","Harris","SATB",,,
"146","Flight Song","Arnesen",,"SATB",,,"4 copies"
"447","Songs of Remebrance","Chatman","Rosetti","SATB/ SSATB or SSAA",,,"Come to me; And if thou wilt. remember; 4 copies"
"227","It Was A Lover And His Lass","Swingle",,"SSAATTBB",,,
"818","Didn't My Lord Deliver Daniel?",,"Hogan","2-Part",,,"3 copies"
"765","Meestelaulud I (Men's Songs I)","Tormis","Rummo","TTBB",,,"Meestelaul, EhalkÃ¤mise-laul; Kosjalaul; Viinalaul; TÃ¼rgisÃµjalaul; Meremehe-laul; Teomehe-laul; Tantsulaul; Lorilaul; ÃœmberkÃ¼la-laul"
"673","Ra-Ta-Plan","Donizetti",,"TTBB",,,
"735","The Stars Are with the Voyager","Daley","Hood","TTBB",,,"has an arranger unlike other copy"
"677","Tantsalaul","Tormis",,"TTBB",,,
"737","The Music of Living","Forrest",,"TTBB",,,"4 copies"
"577","White Christmas","Berlin","Gentry","TTBB",,,"3 copies :("
"480","How Can I Keep from Singing","Traditional","Herrington","TBB",,,"3 copies"
"617","The King of Love My Shepherd Is","Baker","Wilberg","TTBB",,,"3 copies"
"714","My Bonnie Anne Marie","Courtney",,"TTBB",,,"double choir; 4 copies"
"545","Things That Never Die","Dengler","Dickens","TTBB",,,
"524","I Will Be a Child of Peace","Traditional","Hagenberg","TTBB",,,"available for SATB and SSA chorus"
"547","Three Sea Chanteys","Juneau",,"TTB",,,"Time to part; The Voice of the Sea; Time to Sail"
"554","Rest Not","Farnell",,"TB",,,"3 copies"
"715","keyboard","Takach",,"TTBB",,,
"516","Vive L'Amour","Traditonal American","Parker, Shaw","TTBB",,,
"637","Graudete!","Cantiones","Engelhardt","TTBB",,,
"746","Mixolydian Gloria",,"Derrick","TBB",,,
"626","Think On Me","Mary Queen of Scots","Mulholland","TTBB",,,
"540","On the Deep Blue Sea","Donnelly","Strid","TTB",,,
"539","A Cappella Songs for Tenor Bass Chorus",,"Crocker, Leavitt","TB/ TTB",,,"1. Songs of Art; 2. As The Holly Groweth Green; 3. Leave Her, Johnny; 4. The Old Brass Wagon; 5. Down in the Vally; 6. Red River Valley"
"634","A Life On the Ocean Wave","Russell","Johnson","TBB",,,"6 copies"
